A,B,X,rA,rB,rX,TF,target
Tetramethylammoium,Pd,F,292,86,128.5609838,1.386,0
Thiazolium,Pd,F,320,86,128.6380105,1.478,0
Tropylium,Pd,F,333,86,128.5924931,1.521,0
Ammonium,Pt,F,146,80,128.4433276,0.931,1
Hydroxylammonium,Pt,F,216,80,128.6524998,1.168,0
Methylammonium,Pt,F,217,80,128.3782363,1.172,0
Hydrazinium,Pt,F,217,80,128.3782363,1.172,0
Azetidinium,Pt,F,250,80,128.3715823,1.284,0
Formamidinium,Pt,F,253,80,128.4356561,1.294,0
Imidazolium,Pt,F,258,80,128.4226203,1.311,0
Dimethylammonium,Pt,F,272,80,128.581835,1.358,0
Pyrrolinium,Pt,F,272,80,128.581835,1.358,0
Ethylammonium,Pt,F,274,80,128.5121288,1.365,0
Guanidinium,Pt,F,278,80,128.3770736,1.379,0
Tetramethylammoium,Pt,F,292,80,128.5242059,1.426,0
Thiazolium,Pt,F,320,80,128.5109245,1.521,0
Tropylium,Pt,F,333,80,128.5317983,1.565,0
Ammonium,Cu,F,146,73,128.7200583,0.963,1
Hydroxylammonium,Cu,F,216,73,128.469687,1.209,0
Methylammonium,Cu,F,217,73,128.6730918,1.212,0
Hydrazinium,Cu,F,217,73,128.6730918,1.212,0
Azetidinium,Cu,F,250,73,128.5771738,1.328,0
Formamidinium,Cu,F,253,73,128.4252042,1.339,0
Imidazolium,Cu,F,258,73,128.5967354,1.356,0
Dimethylammonium,Cu,F,272,73,128.6271912,1.405,0
Pyrrolinium,Cu,F,272,73,128.6271912,1.405,0
Ethylammonium,Cu,F,274,73,128.6311964,1.412,0
Guanidinium,Cu,F,278,73,128.6389727,1.426,0
Tetramethylammoium,Cu,F,292,73,128.4016788,1.476,0
Thiazolium,Cu,F,320,73,128.4727664,1.574,0
Tropylium,Cu,F,333,73,128.3902166,1.62,0
Ammonium,Zn,F,146,74,128.1161526,0.959,1
Hydroxylammonium,Zn,F,216,74,128.4814196,1.203,0
Methylammonium,Zn,F,217,74,128.6811869,1.206,0
Hydrazinium,Zn,F,217,74,128.6811869,1.206,0
Azetidinium,Zn,F,250,74,128.3941551,1.322,0
Formamidinium,Zn,F,253,74,128.5499878,1.332,0
Imidazolium,Zn,F,258,74,128.3783172,1.35,0
Dimethylammonium,Zn,F,272,74,128.3536853,1.399,0
Pyrrolinium,Zn,F,272,74,128.3536853,1.399,0
Ethylammonium,Zn,F,274,74,128.6403932,1.405,0
Guanidinium,Zn,F,278,74,128.6283992,1.419,0
Tetramethylammoium,Zn,F,292,74,128.5898963,1.468,0
Thiazolium,Zn,F,320,74,128.52607,1.566,0
Tropylium,Zn,F,333,74,128.3892461,1.612,0
Ammonium,Cd,F,146,95,129.1390042,0.868,1
Hydroxylammonium,Cd,F,216,95,128.4563485,1.09,0
Methylammonium,Cd,F,217,95,128.5515503,1.093,0
Hydrazinium,Cd,F,217,95,128.5515503,1.093,0
Azetidinium,Cd,F,250,95,128.7253893,1.197,0
Formamidinium,Cd,F,253,95,128.4934727,1.207,0
Imidazolium,Cd,F,258,95,128.4152362,1.223,0
Dimethylammonium,Cd,F,272,95,128.538875,1.267,0
Pyrrolinium,Cd,F,272,95,128.538875,1.267,0
Ethylammonium,Cd,F,274,95,128.6678398,1.273,0
Guanidinium,Cd,F,278,95,128.5309324,1.286,0
Tetramethylammoium,Cd,F,292,95,128.6338937,1.33,0
Thiazolium,Cd,F,320,95,128.4872051,1.419,0
Tropylium,Cd,F,333,95,128.5262713,1.46,0
Ammonium,Hg,F,146,102,128.6468675,0.842,1
Hydroxylammonium,Hg,F,216,102,128.3850681,1.057,0
Methylammonium,Hg,F,217,102,128.4302704,1.06,0
Hydrazinium,Hg,F,217,102,128.4302704,1.06,0
Azetidinium,Hg,F,250,102,128.5648097,1.161,0
Formamidinium,Hg,F,253,102,128.6646968,1.17,0
Imidazolium,Hg,F,258,102,128.3408224,1.186,0
Dimethylammonium,Hg,F,272,102,128.3309345,1.229,0
Pyrrolinium,Hg,F,272,102,128.3309345,1.229,0
Ethylammonium,Hg,F,274,102,128.3919846,1.235,0
Guanidinium,Hg,F,278,102,128.5100141,1.247,0
Tetramethylammoium,Hg,F,292,102,128.4886797,1.29,0
Thiazolium,Hg,F,320,102,128.4542399,1.376,0
Tropylium,Hg,F,333,102,128.4178713,1.416,0
Ammonium,Ge,F,146,73,128.7200583,0.963,1
Hydroxylammonium,Ge,F,216,73,128.469687,1.209,0
Methylammonium,Ge,F,217,73,128.6730918,1.212,0
Hydrazinium,Ge,F,217,73,128.6730918,1.212,0
Azetidinium,Ge,F,250,73,128.5771738,1.328,0
Formamidinium,Ge,F,253,73,128.4252042,1.339,0
Imidazolium,Ge,F,258,73,128.5967354,1.356,0
Dimethylammonium,Ge,F,272,73,128.6271912,1.405,0
Pyrrolinium,Ge,F,272,73,128.6271912,1.405,0
Ethylammonium,Ge,F,274,73,128.6311964,1.412,0
Guanidinium,Ge,F,278,73,128.6389727,1.426,0
Tetramethylammoium,Ge,F,292,73,128.4016788,1.476,0
Thiazolium,Ge,F,320,73,128.4727664,1.574,0
Tropylium,Ge,F,333,73,128.3902166,1.62,0
Ammonium,Sn,F,146,115,128.8483181,0.797,0
Hydroxylammonium,Sn,F,216,115,128.8355698,1,1
Methylammonium,Sn,F,217,115,128.7531079,1.003,0
