A,B,X,rA,rB,rX,TF,target
Hydroxylammonium,Ca,I,216,100,220.5414626,0.963,1
Methylammonium,Ca,I,217,100,219.5583638,0.966,1
Hydrazinium,Ca,I,217,100,219.5583638,0.966,1
Azetidinium,Ca,I,250,100,219.5787415,1.039,0
Formamidinium,Ca,I,253,100,220.1820324,1.045,0
Imidazolium,Ca,I,258,100,220.2208166,1.056,0
Dimethylammonium,Ca,I,272,100,220.1488217,1.087,0
Pyrrolinium,Ca,I,272,100,220.1488217,1.087,0
Ethylammonium,Ca,I,274,100,219.6641923,1.092,0
Guanidinium,Ca,I,278,100,220.3542363,1.1,0
Tetramethylammoium,Ca,I,292,100,220.2799572,1.131,0
Thiazolium,Ca,I,320,100,220.1598331,1.193,0
Tropylium,Ca,I,333,100,219.9806756,1.222,0
Ammonium,Sr,I,146,118,218.1845434,0.766,0
Hydroxylammonium,Sr,I,216,118,220.2077013,0.912,1
Methylammonium,Sr,I,217,118,220.3560454,0.914,1
Hydrazinium,Sr,I,217,118,220.3560454,0.914,1
Azetidinium,Sr,I,250,118,220.3123932,0.983,1
Formamidinium,Sr,I,253,118,219.4397444,0.99,1
Imidazolium,Sr,I,258,118,219.9898987,1,1
Dimethylammonium,Sr,I,272,118,220.2936885,1.029,0
Pyrrolinium,Sr,I,272,118,220.2936885,1.029,0
Ethylammonium,Sr,I,274,118,220.4809855,1.033,0
Guanidinium,Sr,I,278,118,219.8303251,1.042,0
Tetramethylammoium,Sr,I,292,118,220.111769,1.071,0
Thiazolium,Sr,I,320,118,219.7580047,1.13,0
Tropylium,Sr,I,333,118,219.9200921,1.157,0
Ammonium,Ba,I,146,135,220.277799,0.729,0
Hydroxylammonium,Ba,I,216,135,220.9854772,0.868,1
Methylammonium,Ba,I,217,135,220.9556161,0.87,1
Hydrazinium,Ba,I,217,135,220.9556161,0.87,1
Azetidinium,Ba,I,250,135,220.2629486,0.936,1
Formamidinium,Ba,I,253,135,220.2192805,0.942,1
Imidazolium,Ba,I,258,135,220.1512553,0.952,1
Dimethylammonium,Ba,I,272,135,219.9873077,0.98,1
Pyrrolinium,Ba,I,272,135,219.9873077,0.98,1
Ethylammonium,Ba,I,274,135,219.9665933,0.984,1
Guanidinium,Ba,I,278,135,219.9269096,0.992,1
Tetramethylammoium,Ba,I,292,135,219.8039969,1.02,0
Thiazolium,Ba,I,320,135,219.6141481,1.076,0
Tropylium,Ba,I,333,135,220.4444098,1.101,0
Ammonium,Mn,I,146,83,220.2660566,0.854,1
Hydroxylammonium,Mn,I,216,83,220.476153,1.017,0
Methylammonium,Mn,I,217,83,219.8263413,1.02,0
Hydrazinium,Mn,I,217,83,219.8263413,1.02,0
Azetidinium,Mn,I,250,83,219.869675,1.097,0
Formamidinium,Mn,I,253,83,219.8727806,1.104,0
Imidazolium,Mn,I,258,83,219.6308117,1.116,0
Dimethylammonium,Mn,I,272,83,220.1191589,1.148,0
Pyrrolinium,Mn,I,272,83,220.1191589,1.148,0
Ethylammonium,Mn,I,274,83,219.89179,1.153,0
Guanidinium,Mn,I,278,83,220.1169,1.162,0
Tetramethylammoium,Mn,I,292,83,219.9050447,1.195,0
Thiazolium,Mn,I,320,83,220.1042911,1.26,0
Tropylium,Mn,I,333,83,219.7551778,1.291,0
Ammonium,Fe,I,146,78,220.8520055,0.868,1
Hydroxylammonium,Fe,I,216,78,219.5991274,1.035,0
Methylammonium,Fe,I,217,78,219.9383539,1.037,0
Hydrazinium,Fe,I,217,78,219.9383539,1.037,0
Azetidinium,Fe,I,250,78,220.1720724,1.115,0
Formamidinium,Fe,I,253,78,220.2543004,1.122,0
Imidazolium,Fe,I,258,78,220.1523599,1.134,0
Dimethylammonium,Fe,I,272,78,220.2838405,1.167,0
Pyrrolinium,Fe,I,272,78,220.2838405,1.167,0
Ethylammonium,Fe,I,274,78,220.1177688,1.172,0
Guanidinium,Fe,I,278,78,219.7961163,1.182,0
Tetramethylammoium,Fe,I,292,78,219.9383177,1.215,0
Thiazolium,Fe,I,320,78,220.1736592,1.281,0
Tropylium,Fe,I,333,78,220.0893546,1.312,0
Ammonium,Co,I,146,74.5,219.6252436,0.879,1
Hydroxylammonium,Co,I,216,74.5,219.8736562,1.047,0
Methylammonium,Co,I,217,74.5,220.2198446,1.049,0
Hydrazinium,Co,I,217,74.5,220.2198446,1.049,0
Azetidinium,Co,I,250,74.5,220.3425742,1.128,0
Formamidinium,Co,I,253,74.5,219.7890093,1.136,0
Imidazolium,Co,I,258,74.5,219.798231,1.148,0
Dimethylammonium,Co,I,272,74.5,220.1942133,1.181,0
Pyrrolinium,Co,I,272,74.5,220.1942133,1.181,0
Ethylammonium,Co,I,274,74.5,220.0704748,1.186,0
Guanidinium,Co,I,278,74.5,219.8305909,1.196,0
Tetramethylammoium,Co,I,292,74.5,220.1881074,1.229,0
Thiazolium,Co,I,320,74.5,219.7815907,1.297,0
Tropylium,Co,I,333,74.5,219.8937821,1.328,0
Ammonium,Ni,I,146,69,219.2433922,0.896,1
Hydroxylammonium,Ni,I,216,69,219.8209374,1.067,0
Methylammonium,Ni,I,217,69,220.1786808,1.069,0
Hydrazinium,Ni,I,217,69,220.1786808,1.069,0
Azetidinium,Ni,I,250,69,219.9778438,1.15,0
Formamidinium,Ni,I,253,69,220.19673,1.157,0
Imidazolium,Ni,I,258,69,219.7127662,1.17,0
Dimethylammonium,Ni,I,272,69,219.8803291,1.204,0
Pyrrolinium,Ni,I,272,69,219.8803291,1.204,0
Ethylammonium,Ni,I,274,69,219.8201807,1.209,0
Guanidinium,Ni,I,278,69,220.2685043,1.218,0
Tetramethylammoium,Ni,I,292,69,219.856514,1.253,0
Thiazolium,Ni,I,320,69,220.1118466,1.321,0
Tropylium,Ni,I,333,69,220.0202046,1.353,0
Ammonium,Pd,I,146,86,219.4606066,0.846,1
Hydroxylammonium,Pd,I,216,86,219.5033341,1.008,0
Methylammonium,Pd,I,217,86,219.820608,1.01,0
Hydrazinium,Pd,I,217,86,219.820608,1.01,0
Azetidinium,Pd,I,250,86,220.0638363,1.086,0
Formamidinium,Pd,I,253,86,220.0090893,1.093,0
Imidazolium,Pd,I,258,86,219.6658435,1.105,0
Dimethylammonium,Pd,I,272,86,219.9407675,1.137,0
Pyrrolinium,Pd,I,272,86,219.9407675,1.137,0
Ethylammonium,Pd,I,274,86,219.6752074,1.142,0
Guanidinium,Pd,I,278,86,219.8494616,1.151,0
Tetramethylammoium,Pd,I,292,86,220.0854645,1.183,0
Thiazolium,Pd,I,320,86,219.9069351,1.248,0
Tropylium,Pd,I,333,86,219.9335252,1.278,0
Ammonium,Pt,I,146,80,219.3654754,0.863,1
Hydroxylammonium,Pt,I,216,80,219.6838718,1.028,0
Methylammonium,Pt,I,217,80,220.0175395,1.03,0
Hydrazinium,Pt,I,217,80,220.0175395,1.03,0
Azetidinium,Pt,I,250,80,219.8508011,1.108,0
Formamidinium,Pt,I,253,80,219.9056309,1.115,0
Imidazolium,Pt,I,258,80,219.7547982,1.127,0
Dimethylammonium,Pt,I,272,80,219.7715496,1.16,0
Pyrrolinium,Pt,I,272,80,219.7715496,1.16,0
Ethylammonium,Pt,I,274,80,220.2423978,1.164,0
Guanidinium,Pt,I,278,80,219.8697283,1.174,0
Tetramethylammoium,Pt,I,292,80,219.8773177,1.207,0
Thiazolium,Pt,I,320,80,219.8898411,1.273,0
Tropylium,Pt,I,333,80,220.2182438,1.303,0
Ammonium,Cu,I,146,73,220.4666576,0.883,1
Hydroxylammonium,Cu,I,216,73,220.1813796,1.052,0
Methylammonium,Cu,I,217,73,219.6857179,1.055,0
Hydrazinium,Cu,I,217,73,219.6857179,1.055,0
Azetidinium,Cu,I,250,73,220.1831539,1.134,0
Formamidinium,Cu,I,253,73,219.6677518,1.142,0
Imidazolium,Cu,I,258,73,219.7203838,1.154,0
Dimethylammonium,Cu,I,272,73,220.2199163,1.187,0
Pyrrolinium,Cu,I,272,73,220.2199163,1.187,0
Ethylammonium,Cu,I,274,73,220.1129113,1.192,0
Guanidinium,Cu,I,278,73,219.9053877,1.202,0
Tetramethylammoium,Cu,I,292,73,219.793289,1.236,0
Thiazolium,Cu,I,320,73,220.0984435,1.303,0
Tropylium,Cu,I,333,73,219.8010012,1.335,0
Ammonium,Zn,I,146,74,220.468971,0.88,1
Hydroxylammonium,Zn,I,216,74,219.6857399,1.049,0
Methylammonium,Zn,I,217,74,220.0339157,1.051,0
Hydrazinium,Zn,I,217,74,220.0339157,1.051,0
Azetidinium,Zn,I,250,74,220.2842021,1.13,0
Formamidinium,Zn,I,253,74,219.7435734,1.138,0
Imidazolium,Zn,I,258,74,219.7675318,1.15,0
Dimethylammonium,Zn,I,272,74,220.1986503,1.183,0
Pyrrolinium,Zn,I,272,74,220.1986503,1.183,0
Ethylammonium,Zn,I,274,74,220.080579,1.188,0
Guanidinium,Zn,I,278,74,219.8516521,1.198,0
Tetramethylammoium,Zn,I,292,74,220.2379721,1.231,0
Thiazolium,Zn,I,320,74,219.8845431,1.299,0
Tropylium,Zn,I,333,74,220.0161344,1.33,0
Ammonium,Cd,I,146,95,218.8779313,0.822,1
Hydroxylammonium,Cd,I,216,95,219.6820686,0.979,1
Methylammonium,Cd,I,217,95,219.9659115,0.981,1
Hydrazinium,Cd,I,217,95,219.9659115,0.981,1
Azetidinium,Cd,I,250,95,220.0436547,1.055,0
Formamidinium,Cd,I,253,95,219.8070053,1.062,0
Imidazolium,Cd,I,258,95,220.0055792,1.073,0
Dimethylammonium,Cd,I,272,95,220.3440128,1.104,0
Pyrrolinium,Cd,I,272,95,220.3440128,1.104,0
Ethylammonium,Cd,I,274,95,219.9396604,1.109,0
Guanidinium,Cd,I,278,95,219.9249855,1.118,0
Tetramethylammoium,Cd,I,292,95,220.2346086,1.149,0
Thiazolium,Cd,I,320,95,220.114206,1.212,0
Tropylium,Cd,I,333,95,220.2154925,1.241,0
Ammonium,Hg,I,146,102,219.1029498,0.804,1
Hydroxylammonium,Hg,I,216,102,220.5784735,0.957,1
Methylammonium,Hg,I,217,102,219.5478858,0.96,1
Hydrazinium,Hg,I,217,102,219.5478858,0.96,1
Azetidinium,Hg,I,250,102,220.1113817,1.032,0
Formamidinium,Hg,I,253,102,219.7092664,1.039,0
Imidazolium,Hg,I,258,102,219.6997357,1.05,0
Dimethylammonium,Hg,I,272,102,220.366154,1.08,0
Pyrrolinium,Hg,I,272,102,220.366154,1.08,0
Ethylammonium,Hg,I,274,102,219.8432094,1.085,0
Guanidinium,Hg,I,278,102,219.6670322,1.094,0
Tetramethylammoium,Hg,I,292,102,220.2654684,1.124,0
Thiazolium,Hg,I,320,102,219.8865339,1.186,0
Tropylium,Hg,I,333,102,220.2407805,1.214,0
Ammonium,Ge,I,146,73,220.4666576,0.883,1
Hydroxylammonium,Ge,I,216,73,220.1813796,1.052,0
Methylammonium,Ge,I,217,73,219.6857179,1.055,0
Hydrazinium,Ge,I,217,73,219.6857179,1.055,0
Azetidinium,Ge,I,250,73,220.1831539,1.134,0
Formamidinium,Ge,I,253,73,219.6677518,1.142,0
Imidazolium,Ge,I,258,73,219.7203838,1.154,0
Dimethylammonium,Ge,I,272,73,220.2199163,1.187,0
Pyrrolinium,Ge,I,272,73,220.2199163,1.187,0
Ethylammonium,Ge,I,274,73,220.1129113,1.192,0
Guanidinium,Ge,I,278,73,219.9053877,1.202,0
Tetramethylammoium,Ge,I,292,73,219.793289,1.236,0
Thiazolium,Ge,I,320,73,220.0984435,1.303,0
Tropylium,Ge,I,333,73,219.8010012,1.335,0
Ammonium,Sn,I,146,115,217.6641286,0.773,0
Hydroxylammonium,Sn,I,216,115,220.4629391,0.92,1
Methylammonium,Sn,I,217,115,220.631306,0.922,1
Hydrazinium,Sn,I,217,115,220.631306,0.922,1
Azetidinium,Sn,I,250,115,220.0708587,0.992,1
Formamidinium,Sn,I,253,115,220.4520817,0.998,1
Imidazolium,Sn,I,258,115,219.9405134,1.009,0
Dimethylammonium,Sn,I,272,115,220.5032933,1.038,0
Pyrrolinium,Sn,I,272,115,220.5032933,1.038,0
Ethylammonium,Sn,I,274,115,219.7194046,1.043,0
Guanidinium,Sn,I,278,115,220.1575403,1.051,0
Tetramethylammoium,Sn,I,292,115,219.7423649,1.081,0
Thiazolium,Sn,I,320,115,219.8559965,1.14,0
Tropylium,Sn,I,333,115,220.1849342,1.167,0
Ammonium,Pb,I,146,119,222.5778067,0.763,0
Hydroxylammonium,Pb,I,216,119,220.7308646,0.909,1
Methylammonium,Pb,I,217,119,219.2077013,0.912,1
Hydrazinium,Pb,I,217,119,219.2077013,0.912,1
Azetidinium,Pb,I,250,119,220.4404183,0.98,1
Formamidinium,Pb,I,253,119,219.5302048,0.987,1
Imidazolium,Pb,I,258,119,220.0484365,0.997,1
Dimethylammonium,Pb,I,272,119,220.2588213,1.026,0
Pyrrolinium,Pb,I,272,119,220.2588213,1.026,0
Ethylammonium,Pb,I,274,119,220.4359023,1.03,0
Guanidinium,Pb,I,278,119,219.753466,1.039,0
Tetramethylammoium,Pb,I,292,119,219.9630693,1.068,0
Thiazolium,Pb,I,320,119,220.2952109,1.126,0
Tropylium,Pb,I,333,119,220.3656705,1.153,0
Ammonium,Eu,I,146,117,219.7550124,0.768,0
Hydroxylammonium,Eu,I,216,117,219.7284981,0.915,1
Methylammonium,Eu,I,217,117,219.8888167,0.917,1
Hydrazinium,Eu,I,217,117,219.8888167,0.917,1
Azetidinium,Eu,I,250,117,220.208636,0.986,1
Formamidinium,Eu,I,253,117,220.552865,0.992,1
Imidazolium,Eu,I,258,117,219.9528256,1.003,0
Dimethylammonium,Eu,I,272,117,220.3463795,1.032,0
Pyrrolinium,Eu,I,272,117,220.3463795,1.032,0
Ethylammonium,Eu,I,274,117,219.520299,1.037,0
Guanidinium,Eu,I,278,117,219.9235765,1.045,0
Tetramethylammoium,Eu,I,292,117,220.2743904,1.074,0
Thiazolium,Eu,I,320,117,220.0391221,1.133,0
Tropylium,Eu,I,333,117,220.2429933,1.16,0
Ammonium,Tm,I,146,103,220.8316033,0.801,1
Hydroxylammonium,Tm,I,216,103,220.6341065,0.954,1
Methylammonium,Tm,I,217,103,219.5784735,0.957,1
Hydrazinium,Tm,I,217,103,219.5784735,0.957,1
Azetidinium,Tm,I,250,103,219.9167027,1.029,0
Formamidinium,Tm,I,253,103,220.4773124,1.035,0
Imidazolium,Tm,I,258,103,220.4102809,1.046,0
Dimethylammonium,Tm,I,272,103,220.0690371,1.077,0
Pyrrolinium,Tm,I,272,103,220.0690371,1.077,0
Ethylammonium,Tm,I,274,103,220.395166,1.081,0
Guanidinium,Tm,I,278,103,220.1806693,1.09,0
Tetramethylammoium,Tm,I,292,103,219.8928998,1.121,0
Thiazolium,Tm,I,320,103,220.1087862,1.182,0
Tropylium,Tm,I,333,103,219.7559999,1.211,0
Ammonium,Yb,I,146,102,219.1029498,0.804,1
Hydroxylammonium,Yb,I,216,102,220.5784735,0.957,1
Methylammonium,Yb,I,217,102,219.5478858,0.96,1
Hydrazinium,Yb,I,217,102,219.5478858,0.96,1
Azetidinium,Yb,I,250,102,220.1113817,1.032,0
Formamidinium,Yb,I,253,102,219.7092664,1.039,0
Imidazolium,Yb,I,258,102,219.6997357,1.05,0
Dimethylammonium,Yb,I,272,102,220.366154,1.08,0
Pyrrolinium,Yb,I,272,102,220.366154,1.08,0
Ethylammonium,Yb,I,274,102,219.8432094,1.085,0
Guanidinium,Yb,I,278,102,219.6670322,1.094,0
Tetramethylammoium,Yb,I,292,102,220.2654684,1.124,0
Thiazolium,Yb,I,320,102,219.8865339,1.186,0
Tropylium,Yb,I,333,102,220.2407805,1.214,0
Ammonium,Be,BH4,146,45,203.0703964,0.995,1
Hydroxylammonium,Be,BH4,216,45,202.8314002,1.195,0
Methylammonium,Be,BH4,217,45,202.7572753,1.198,0
Hydrazinium,Be,BH4,217,45,202.7572753,1.198,0
Azetidinium,Be,BH4,250,45,202.8347936,1.292,0
Formamidinium,Be,BH4,253,45,203.0686333,1.3,0
Imidazolium,Be,BH4,258,45,203.1717372,1.314,0
Dimethylammonium,Be,BH4,272,45,203.1294202,1.354,0
Pyrrolinium,Be,BH4,272,45,203.1294202,1.354,0
Ethylammonium,Be,BH4,274,45,203.0152163,1.36,0
Guanidinium,Be,BH4,278,45,203.1662342,1.371,0
Tetramethylammoium,Be,BH4,292,45,203.1276567,1.411,0
Thiazolium,Be,BH4,320,45,203.0623128,1.491,0
Tropylium,Be,BH4,333,45,203.079468,1.528,0
Ammonium,Mg,BH4,146,72,203.5543465,0.897,1
Hydroxylammonium,Mg,BH4,216,72,203.2777594,1.077,0
Methylammonium,Mg,BH4,217,72,202.9593666,1.08,0
Hydrazinium,Mg,BH4,217,72,202.9593666,1.08,0
Azetidinium,Mg,BH4,250,72,202.8785129,1.165,0
Formamidinium,Mg,BH4,253,72,202.7117198,1.173,0
Imidazolium,Mg,BH4,258,72,203.2118175,1.185,0
Dimethylammonium,Mg,BH4,272,72,203.1959961,1.221,0
Pyrrolinium,Mg,BH4,272,72,203.1959961,1.221,0
Ethylammonium,Mg,BH4,274,72,202.7402055,1.227,0
Guanidinium,Mg,BH4,278,72,202.8931138,1.237,0
Tetramethylammoium,Mg,BH4,292,72,202.899021,1.273,0
Thiazolium,Mg,BH4,320,72,202.9088352,1.345,0
Tropylium,Mg,BH4,333,72,203.0882923,1.378,0
Ammonium,Ca,BH4,146,100,204.2935024,0.814,1
Hydroxylammonium,Ca,BH4,216,100,202.7923216,0.978,1
Methylammonium,Ca,BH4,217,100,203.164343,0.98,1
Hydrazinium,Ca,BH4,217,100,203.164343,0.98,1
Azetidinium,Ca,BH4,250,100,203.1382475,1.057,0
Formamidinium,Ca,BH4,253,100,203.1364336,1.064,0
Imidazolium,Ca,BH4,258,100,202.8596508,1.076,0
Dimethylammonium,Ca,BH4,272,100,202.6235843,1.109,0
Pyrrolinium,Ca,BH4,272,100,202.6235843,1.109,0
Ethylammonium,Ca,BH4,274,100,203.1254877,1.113,0
Guanidinium,Ca,BH4,278,100,202.6377959,1.123,0
Tetramethylammoium,Ca,BH4,292,100,203.1180118,1.155,0
Thiazolium,Ca,BH4,320,100,202.7155957,1.221,0
Tropylium,Ca,BH4,333,100,202.9195333,1.251,0
Ammonium,Sr,BH4,146,118,201.8894847,0.769,0
Hydroxylammonium,Sr,BH4,216,118,202.9756422,0.923,1
Methylammonium,Sr,BH4,217,118,203.2746671,0.925,1
Hydrazinium,Sr,BH4,217,118,203.2746671,0.925,1
Azetidinium,Sr,BH4,250,118,202.8672086,0.998,1
Formamidinium,Sr,BH4,253,118,203.527773,1.004,0
Imidazolium,Sr,BH4,258,118,202.4827537,1.016,0
Dimethylammonium,Sr,BH4,272,118,203.3237629,1.046,0
Pyrrolinium,Sr,BH4,272,118,203.3237629,1.046,0
Ethylammonium,Sr,BH4,274,118,202.7642717,1.051,0
Guanidinium,Sr,BH4,278,118,202.5986371,1.06,0
Tetramethylammoium,Sr,BH4,292,118,203.3339226,1.09,0
Thiazolium,Sr,BH4,320,118,203.0558484,1.152,0
Tropylium,Sr,BH4,333,118,202.8063587,1.181,0
Ammonium,Ba,BH4,146,135,204.7588891,0.73,0
Hydroxylammonium,Ba,BH4,216,135,202.127342,0.877,1
Methylammonium,Ba,BH4,217,135,202.3184612,0.879,1
Hydrazinium,Ba,BH4,217,135,202.3184612,0.879,1
Azetidinium,Ba,BH4,250,135,202.565666,0.948,1
Formamidinium,Ba,BH4,253,135,202.9541997,0.954,1
Imidazolium,Ba,BH4,258,135,203.5614244,0.964,1
Dimethylammonium,Ba,BH4,272,135,202.6644085,0.994,1
Pyrrolinium,Ba,BH4,272,135,202.6644085,0.994,1
Ethylammonium,Ba,BH4,274,135,202.8828939,0.998,1
Guanidinium,Ba,BH4,278,135,203.3023212,1.006,0
Tetramethylammoium,Ba,BH4,292,135,202.5434892,1.036,0
Thiazolium,Ba,BH4,320,135,203.1159146,1.094,0
Tropylium,Ba,BH4,333,135,203.2687522,1.121,0
Ammonium,Mn,BH4,146,83,202.7579538,0.863,1
Hydroxylammonium,Mn,BH4,216,83,202.9444845,1.036,0
Methylammonium,Mn,BH4,217,83,203.3531293,1.038,0
Hydrazinium,Mn,BH4,217,83,203.3531293,1.038,0
Azetidinium,Mn,BH4,250,83,202.9984787,1.12,0
Formamidinium,Mn,BH4,253,83,203.2826724,1.127,0
Imidazolium,Mn,BH4,258,83,202.8526799,1.14,0
Dimethylammonium,Mn,BH4,272,83,203.2392861,1.174,0
Pyrrolinium,Mn,BH4,272,83,203.2392861,1.174,0
Ethylammonium,Mn,BH4,274,83,203.2032973,1.179,0
Guanidinium,Mn,BH4,278,83,203.1335602,1.189,0
Tetramethylammoium,Mn,BH4,292,83,202.9107295,1.224,0
Thiazolium,Mn,BH4,320,83,203.0321672,1.293,0
Tropylium,Mn,BH4,333,83,203.0958656,1.325,0
Ammonium,Fe,BH4,146,78,203.3643599,0.878,1
Hydroxylammonium,Fe,BH4,216,78,203.2990584,1.054,0
Methylammonium,Fe,BH4,217,78,202.9081094,1.057,0
Hydrazinium,Fe,BH4,217,78,202.9081094,1.057,0
Azetidinium,Fe,BH4,250,78,202.9523482,1.14,0
Formamidinium,Fe,BH4,253,78,203.3039197,1.147,0
Imidazolium,Fe,BH4,258,78,203.0358277,1.16,0
Dimethylammonium,Fe,BH4,272,78,203.1654482,1.195,0
Pyrrolinium,Fe,BH4,272,78,203.1654482,1.195,0
Ethylammonium,Fe,BH4,274,78,203.1824627,1.2,0
Guanidinium,Fe,BH4,278,78,203.2154767,1.21,0
Tetramethylammoium,Fe,BH4,292,78,202.7993233,1.246,0
Thiazolium,Fe,BH4,320,78,203.0342368,1.316,0
Tropylium,Fe,BH4,333,78,202.9068922,1.349,0
Ammonium,Co,BH4,146,74.5,203.4550287,0.889,1
Hydroxylammonium,Co,BH4,216,74.5,202.7443602,1.068,0
Methylammonium,Co,BH4,217,74.5,203.1649193,1.07,0
Hydrazinium,Co,BH4,217,74.5,203.1649193,1.07,0
Azetidinium,Co,BH4,250,74.5,203.1887965,1.154,0
Formamidinium,Co,BH4,253,74.5,202.968547,1.162,0
Imidazolium,Co,BH4,258,74.5,202.815612,1.175,0
Dimethylammonium,Co,BH4,272,74.5,203.2002832,1.21,0
Pyrrolinium,Co,BH4,272,74.5,203.2002832,1.21,0
Ethylammonium,Co,BH4,274,74.5,203.2509083,1.215,0
Guanidinium,Co,BH4,278,74.5,202.8137608,1.226,0
Tetramethylammoium,Co,BH4,292,74.5,203.1631302,1.261,0
Thiazolium,Co,BH4,320,74.5,202.8551615,1.333,0
Tropylium,Co,BH4,333,74.5,202.9153652,1.366,0
Ammonium,Ni,BH4,146,69,203.3815369,0.907,1
Hydroxylammonium,Ni,BH4,216,69,203.1826199,1.089,0
Methylammonium,Ni,BH4,217,69,202.8982785,1.092,0
Hydrazinium,Ni,BH4,217,69,202.8982785,1.092,0
Azetidinium,Ni,BH4,250,69,202.7947982,1.178,0
Formamidinium,Ni,BH4,253,69,203.2525506,1.185,0
Imidazolium,Ni,BH4,258,69,203.244913,1.198,0
Dimethylammonium,Ni,BH4,272,69,202.9161214,1.235,0
Pyrrolinium,Ni,BH4,272,69,202.9161214,1.235,0
Ethylammonium,Ni,BH4,274,69,203.0186428,1.24,0
Guanidinium,Ni,BH4,278,69,203.2180203,1.25,0
Tetramethylammoium,Ni,BH4,292,69,202.9204279,1.287,0
Thiazolium,Ni,BH4,320,69,202.8420057,1.36,0
Tropylium,Ni,BH4,333,69,203.1650909,1.393,0
Ammonium,Pd,BH4,146,86,202.8248158,0.854,1
Hydroxylammonium,Pd,BH4,216,86,203.1659089,1.025,0
Methylammonium,Pd,BH4,217,86,202.6660824,1.028,0
Hydrazinium,Pd,BH4,217,86,202.6660824,1.028,0
Azetidinium,Pd,BH4,250,86,203.2678316,1.108,0
Formamidinium,Pd,BH4,253,86,202.7962603,1.116,0
Imidazolium,Pd,BH4,258,86,202.9625229,1.128,0
Dimethylammonium,Pd,BH4,272,86,203.1268893,1.162,0
Pyrrolinium,Pd,BH4,272,86,203.1268893,1.162,0
Ethylammonium,Pd,BH4,274,86,203.0585671,1.167,0
Guanidinium,Pd,BH4,278,86,202.9262848,1.177,0
Tetramethylammoium,Pd,BH4,292,86,203.0771129,1.211,0
Thiazolium,Pd,BH4,320,86,202.819943,1.28,0
Tropylium,Pd,BH4,333,86,203.2156585,1.311,0
Ammonium,Pt,BH4,146,80,203.0258751,0.872,1
Hydroxylammonium,Pt,BH4,216,80,202.9315706,1.047,0
Methylammonium,Pt,BH4,217,80,203.3446927,1.049,0
Hydrazinium,Pt,BH4,217,80,203.3446927,1.049,0
Azetidinium,Pt,BH4,250,80,202.9137945,1.132,0
Formamidinium,Pt,BH4,253,80,203.2400876,1.139,0
Imidazolium,Pt,BH4,258,80,202.9105991,1.152,0
Dimethylammonium,Pt,BH4,272,80,202.9056479,1.187,0
Pyrrolinium,Pt,BH4,272,80,202.9056479,1.187,0
Ethylammonium,Pt,BH4,274,80,202.9049989,1.192,0
Guanidinium,Pt,BH4,278,80,202.9037403,1.202,0
Tetramethylammoium,Pt,BH4,292,80,202.8997094,1.237,0
Thiazolium,Pt,BH4,320,80,202.8930586,1.307,0
Tropylium,Pt,BH4,333,80,203.1143148,1.339,0
Ammonium,Cu,BH4,146,73,203.19405,0.894,1
Hydroxylammonium,Cu,BH4,216,73,203.3545879,1.073,0
Methylammonium,Cu,BH4,217,73,203.0239855,1.076,0
Hydrazinium,Cu,BH4,217,73,203.0239855,1.076,0
Azetidinium,Cu,BH4,250,73,202.7430494,1.161,0
Formamidinium,Cu,BH4,253,73,203.1577203,1.168,0
Imidazolium,Cu,BH4,258,73,203.0426808,1.181,0
Dimethylammonium,Cu,BH4,272,73,202.9680738,1.217,0
Pyrrolinium,Cu,BH4,272,73,202.9680738,1.217,0
Ethylammonium,Cu,BH4,274,73,203.0348317,1.222,0
Guanidinium,Cu,BH4,278,73,203.164532,1.232,0
Tetramethylammoium,Cu,BH4,292,73,203.088888,1.268,0
Thiazolium,Cu,BH4,320,73,202.9634165,1.34,0
Tropylium,Cu,BH4,333,73,203.0919588,1.373,0
Ammonium,Zn,BH4,146,74,202.8546256,0.891,1
Hydroxylammonium,Zn,BH4,216,74,202.6906564,1.07,0
Methylammonium,Zn,BH4,217,74,203.1119453,1.072,0
Hydrazinium,Zn,BH4,217,74,203.1119453,1.072,0
Azetidinium,Zn,BH4,250,74,203.2391925,1.156,0
Formamidinium,Zn,BH4,253,74,203.0277794,1.164,0
Imidazolium,Zn,BH4,258,74,202.8876896,1.177,0
Dimethylammonium,Zn,BH4,272,74,202.7523609,1.213,0
Pyrrolinium,Zn,BH4,272,74,202.7523609,1.213,0
Ethylammonium,Zn,BH4,274,74,202.8119658,1.218,0
Guanidinium,Zn,BH4,278,74,202.9277429,1.228,0
Tetramethylammoium,Zn,BH4,292,74,202.8022183,1.264,0
Thiazolium,Zn,BH4,320,74,203.0347934,1.335,0
Tropylium,Zn,BH4,333,74,203.1108117,1.368,0
Ammonium,Cd,BH4,146,95,203.299989,0.828,1
Hydroxylammonium,Cd,BH4,216,95,203.2291491,0.994,1
Methylammonium,Cd,BH4,217,95,202.5820809,0.997,1
Hydrazinium,Cd,BH4,217,95,202.5820809,0.997,1
Azetidinium,Cd,BH4,250,95,202.9167472,1.075,0
Formamidinium,Cd,BH4,253,95,203.0125162,1.082,0
Imidazolium,Cd,BH4,258,95,202.9075355,1.094,0
Dimethylammonium,Cd,BH4,272,95,203.0707824,1.127,0
Pyrrolinium,Cd,BH4,272,95,203.0707824,1.127,0
Ethylammonium,Cd,BH4,274,95,202.8915836,1.132,0
Guanidinium,Cd,BH4,278,95,203.2313052,1.141,0
